MESSAGEID	LATITUDE	LONGITUDE	MESSAGEDATE	EMOTION
276364819395915776	51.22562876	6.7792495	2012-12-05 05:38:03	1
276364827243474944	50.99658266	7.03154287	2012-12-05 05:38:04	5
276364824244543489	48.2258973	11.6742738	2012-12-05 05:38:03	1
276364840757522432	50.10178	14.41696	2012-12-05 05:38:07	3
276364838312226816	51.678512	7.811547	2012-12-05 05:38:06	7
276366294725570561	49.18585	9.2019	2012-12-05 05:43:53	1
276364842196168704	52.52498063	13.36550651	2012-12-05 05:38:07	1
276366299251240960	49.1806	9.22955	2012-12-05 05:43:55	5
276366297057595392	49.1806	9.22955	2012-12-05 05:43:54	5
276366304150159363	47.76085	9.6317	2012-12-05 05:43:56	1
276366301516148736	47.76085	9.6317	2012-12-05 05:43:55	1
276366306536742912	49.22665	8.3976	2012-12-05 05:43:56	4
276366305270054913	52.517025	13.440391	2012-12-05 05:43:56	1
276366311091736576	49.22665	8.3976	2012-12-05 05:43:57	4
276366308965228544	50.08226022	8.23940277	2012-12-05 05:43:57	1
276366315571277824	47.72025	9.389	2012-12-05 05:43:58	1
276366313411190784	47.72025	9.389	2012-12-05 05:43:58	1
276366318171717632	48.72725	9.3197	2012-12-05 05:43:59	1
276366317563543552	50.08168334	14.42687516	2012-12-05 05:43:59	1
276366320495386624	48.72725	9.3197	2012-12-05 05:44:00	1
276366319937536000	52.3666173	9.7376589	2012-12-05 05:43:59	2
276366325033603072	48.76955	9.25095	2012-12-05 05:44:01	1
276366322739331072	48.76955	9.25095	2012-12-05 05:44:00	1
276366329622192129	48.7641	9.13385	2012-12-05 05:44:02	1
276366327281745922	48.7641	9.13385	2012-12-05 05:44:01	1
276367568619593729	50.732704	7.096311	2012-12-05 05:48:57	7
276366331975172097	48.72625	9.06805	2012-12-05 05:44:02	7
276367571178106880	48.72625	9.06805	2012-12-05 05:48:58	1
276367568921579522	47.81395	7.55285	2012-12-05 05:48:57	1
276367573417877506	48.72625	9.06805	2012-12-05 05:48:58	1
276367571903721472	49.87999914	8.80979061	2012-12-05 05:48:58	5
276367584880893952	48.772639	9.183684	2012-12-05 05:49:01	1
276367575682797568	49.3533	8.4221	2012-12-05 05:48:59	1
276367589196849152	50.0993584	14.51787472	2012-12-05 05:49:02	1
276367586491527168	50.94070509	6.942828	2012-12-05 05:49:01	1
